,name,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,category,projectrank_placing
56,spiel,JoshKarpel/spiel,https://github.com/JoshKarpel/spiel,https://github.com/JoshKarpel/spiel,MIT,2021-03-28 15:37:40,2023-12-18 20:53:43,2023-12-18 20:52:55,220,18.0,5.0,2,239.0,5.0,15.0,72,2023-04-21 23:53:02,0.5.1,,,13.0,Display richly-styled presentations using your terminal.,4.0,4.0,5.0,13,True,others,2
57,textual-astview,davep/textual-astview,https://github.com/davep/textual-astview,https://github.com/davep/textual-astview,MIT,2022-12-19 22:40:32,2023-10-10 20:12:23,2023-10-10 20:09:34,153,10.0,3.0,2,2.0,,6.0,65,2023-10-10 20:12:23,0.8.0,,,11.0,A Textual-based Python AST viewing widget library and application.,,,,13,True,others,2
58,textual-web,Textualize/textual-web,https://github.com/Textualize/textual-web,https://github.com/Textualize/textual-web,MIT,2023-08-15 13:13:44,2023-11-28 15:42:54,2023-11-28 15:32:26,130,12.0,11.0,9,17.0,12.0,6.0,478,2023-11-28 15:32:19,0.6.0,,,1.0,Run TUIs and terminals in your browser.,,,3.0,12,True,others,3
59,gupshup,kraanzu/gupshup,https://github.com/kraanzu/gupshup,https://github.com/kraanzu/gupshup,MIT,2022-01-15 10:55:36,2022-11-07 03:07:37,2022-11-07 03:07:37,151,,17.0,4,,3.0,4.0,360,2022-04-17 07:21:28,1.0.0,,,2.0,A TUI chat application writtten in python.,,,,12,False,others,3
60,ChatGPTerminator,AineeJames/ChatGPTerminator,https://github.com/AineeJames/ChatGPTerminator,https://github.com/AineeJames/ChatGPTerminator,MIT,2023-03-13 20:14:49,2023-05-21 16:23:03,2023-05-17 06:04:05,208,,15.0,8,11.0,3.0,15.0,220,2023-05-15 18:04:00,0.1.11,,,11.0,GPTerminator provides a convenient way to interact with OpenAIs chat completion and image generation APIs using your..,,,5.0,12,True,others,3
61,pdfalyzer,michelcrypt4d4mus/pdfalyzer,https://github.com/michelcrypt4d4mus/pdfalyzer,https://github.com/michelcrypt4d4mus/pdfalyzer,GPL-3.0,2022-09-14 18:51:50,2023-11-15 23:02:37,2023-11-15 23:02:35,166,8.0,16.0,4,4.0,2.0,6.0,187,2023-11-15 19:49:03,1.14.5,9.0,0.0,37.0,Analyze PDFs. With colors. And Yara.,,,4.0,12,True,others,3
62,rtui,eduidl/rtui,https://github.com/eduidl/rtui,https://github.com/eduidl/rtui,Apache-2.0,2022-03-20 13:28:45,2023-10-25 02:50:27,2023-10-25 02:50:21,74,48.0,8.0,6,12.0,3.0,1.0,185,2023-10-24 16:25:52,0.2.0,,,1.0,TUI tool for ROS.,,,2.0,12,True,others,3
63,ddqa,DataDog/ddqa,https://github.com/DataDog/ddqa,https://github.com/DataDog/ddqa,MIT,2023-02-21 15:54:14,2023-12-21 10:09:23,2023-12-21 09:15:33,108,44.0,1.0,4,92.0,,,63,2023-06-21 13:21:30,0.4.0,113.0,14.0,5.0,Datadogs QA manager for releases of GitHub repositories.,,,7.0,12,True,others,3
64,nonebot-plugin-chatrecorder,noneplugin/nonebot-plugin-chatrecorder,https://github.com/noneplugin/nonebot-plugin-chatrecorder,https://github.com/noneplugin/nonebot-plugin-chatrecorder,MIT,2022-01-31 14:02:09,2023-12-04 12:38:21,2023-11-29 05:24:49,181,24.0,8.0,2,26.0,,9.0,40,2023-10-23 14:27:00,0.5.1,7.0,0.0,13.0,Nonebot2.,2.0,2.0,3.0,12,True,others,3
65,netext,mahrz24/netext,https://github.com/mahrz24/netext,https://github.com/mahrz24/netext,MIT,2022-07-21 11:07:47,2023-12-06 16:48:33,2023-12-06 16:03:27,225,54.0,1.0,2,16.0,14.0,17.0,40,2023-11-13 19:53:25,0.2.1,6.0,0.0,4.0,Netext is a graph (network) rendering library for the terminal.,,,4.0,12,True,others,3
66,0x0,mia-0/0x0,https://github.com/mia-0/0x0,https://github.com/mia-0/0x0,EUPL-1.2,2016-11-01 04:26:54,2023-06-04 04:37:32,2023-06-04 04:35:11,82,,125.0,26,10.0,,,1658,,,,,,No-bullshit file hosting and URL shortening service. Mirror of https://git.0x0.st/mia/0x0.,,,7.0,11,True,others,3
