,name,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,category,projectrank_placing
113,markata-todoui,WaylonWalker/markata-todoui,https://github.com/WaylonWalker/markata-todoui,https://github.com/WaylonWalker/markata-todoui,,2022-04-14 15:22:19,2023-09-30 19:38:03,2022-05-16 13:28:51,17,,2.0,3,10.0,3.0,5.0,30,2022-05-22 23:48:57,0.0.4,,,4.0,A todo plugin for markata. It is a tui (text user interface) that runs in the terminal using textual. It gives me a..,,,3.0,6,False,others,3
114,rich-diff,sureshdsk/rich-diff,https://github.com/sureshdsk/rich-diff,https://github.com/sureshdsk/rich-diff,MIT,2021-09-16 14:06:39,2021-09-16 14:15:58,2021-09-16 14:15:52,4,,,3,,1.0,,23,,,,,,CLI based diff viewer.,,,,6,False,others,3
115,Tsubame,DoranekoSystems/Tsubame,https://github.com/DoranekoSystems/Tsubame,https://github.com/DoranekoSystems/Tsubame,GPL-3.0,2023-01-22 11:21:25,2023-07-22 23:46:02,2023-07-22 23:45:58,43,,3.0,1,,,3.0,22,,,,,,Cross Platform TUI based process memory analyzer.,,,,6,True,others,3
116,upiano,eliasdorneles/upiano,https://github.com/eliasdorneles/upiano,https://github.com/eliasdorneles/upiano,,2017-07-30 12:46:20,2023-08-13 13:50:36,2023-08-13 13:50:28,46,,16.0,8,2.0,6.0,2.0,495,,,,,,A Piano in your terminal.,,,2.0,5,False,others,3
117,shira,darrenburns/shira,https://github.com/darrenburns/shira,https://github.com/darrenburns/shira,,2022-11-11 12:16:31,2023-02-17 23:18:23,2022-11-12 10:36:15,16,,1.0,5,,1.0,,154,,,,,,the python inspector.,,,,5,False,others,3
118,kupo,darrenburns/kupo,https://github.com/darrenburns/kupo,https://github.com/darrenburns/kupo,,2022-04-09 18:52:43,2023-09-20 19:28:38,2023-09-20 19:28:35,72,,6.0,11,,1.0,1.0,146,,,,,,"A terminal file browser, kupo!.",,,,5,False,others,3
119,ToastCord,Traumatism/ToastCord,https://github.com/Traumatism/ToastCord,https://github.com/Traumatism/ToastCord,,2021-12-19 07:49:48,2022-02-24 05:10:30,2022-02-24 05:10:20,99,,8.0,4,,1.0,6.0,105,,,,,,A Terminal UI for Discord (deprecated).,,,2.0,5,False,others,3
120,talksheet,danthelion/talksheet,https://github.com/danthelion/talksheet,https://github.com/danthelion/talksheet,,2023-02-27 10:46:40,2023-03-04 16:32:32,2023-03-04 16:32:28,11,,3.0,6,,,,93,,,,,,A GPT powered CLI tool that answers questions about your data.,,,,5,False,others,3
121,textual-terminal,mitosch/textual-terminal,https://github.com/mitosch/textual-terminal,https://github.com/mitosch/textual-terminal,LGPL-3.0,2023-01-26 08:29:11,2023-01-29 14:27:49,2023-01-29 14:27:07,16,,3.0,3,,4.0,2.0,67,,,,,,A terminal emulator widget for Textual.,,,,5,True,others,3
122,mmr,9600dev/mmr,https://github.com/9600dev/mmr,https://github.com/9600dev/mmr,,2021-08-30 06:56:07,2023-05-27 20:28:34,2023-05-27 20:28:23,185,,11.0,7,1.0,1.0,2.0,43,,,,,,Python based algorithmic trading platform for Interactive Brokers.,,,2.0,5,False,others,3
123,http-tui,treyhunner/http-tui,https://github.com/treyhunner/http-tui,https://github.com/treyhunner/http-tui,MIT,2023-03-12 05:07:49,2023-12-03 18:44:36,2023-03-25 17:47:46,6,,1.0,2,1.0,1.0,,24,,,,,,HTTP API Client TUI.,,,2.0,5,True,others,3
124,RichWatch,Cvaniak/RichWatch,https://github.com/Cvaniak/RichWatch,https://github.com/Cvaniak/RichWatch,MIT,2021-10-29 19:14:35,2021-11-19 15:37:50,2021-11-19 15:33:48,7,,1.0,2,8.0,,,23,,,,,,RichWatch is wrapper around AWS Cloud Watch to display beautiful logs with help of Python library Rich.,,,,5,False,others,3
125,mactop,laixintao/mactop,https://github.com/laixintao/mactop,https://github.com/laixintao/mactop,GPL-3.0,2023-12-05 09:12:42,2023-12-06 08:58:11,2023-12-06 08:58:08,13,13.0,1.0,1,4.0,1.0,,124,,,,,,,,,,4,False,others,3
126,Suspicion-Agent,CR-Gjx/Suspicion-Agent,https://github.com/CR-Gjx/Suspicion-Agent,https://github.com/CR-Gjx/Suspicion-Agent,,2023-09-30 11:51:17,2023-11-08 08:02:01,2023-11-08 08:01:58,9,9.0,10.0,4,,,1.0,101,,,,,,The implementation of Suspicion-Agent: Playing Imperfect Information Games with Theory of Mind Aware GPT-4.,,,,4,False,others,3
127,pypod,bmwant/pypod,https://github.com/bmwant/pypod,https://github.com/bmwant/pypod,,2022-12-09 18:46:58,2023-01-28 20:34:28,2023-01-28 20:34:23,61,,,2,,3.0,2.0,29,2023-01-03 14:40:02,0.1.2,16.0,1.0,3.0,Python terminal music player.,,,,4,False,others,3
128,textual-filedrop,agmmnn/textual-filedrop,https://github.com/agmmnn/textual-filedrop,https://github.com/agmmnn/textual-filedrop,,2022-12-17 16:14:30,2023-03-22 17:59:15,2023-03-22 17:56:19,29,,3.0,2,1.0,1.0,3.0,20,2023-03-22 17:59:15,0.3.5,19.0,1.0,10.0,"FileDrop widget for Textual, easily drag and drop files into your terminal apps.",,,2.0,4,False,others,3
129,sqlib,zhostev/sqlib,https://github.com/zhostev/sqlib,https://github.com/zhostev/sqlib,,2023-08-23 07:09:17,2023-10-24 16:15:07,2023-10-24 16:15:07,76,1.0,9.0,2,5.0,,,45,,,,,,"Introduction to the decoupling solutions of qlib, an open-source software library for signal processing and machine..",,,2.0,3,False,others,3
130,textualog,rhuygen/textualog,https://github.com/rhuygen/textualog,https://github.com/rhuygen/textualog,,2022-04-26 06:42:58,2022-06-14 19:56:13,2022-06-14 19:46:06,48,,2.0,1,,1.0,1.0,30,,,,,,"Display, filter and search log messages in your terminal.",,,,3,False,others,3
