,name,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,category,projectrank_placing,trending,updated_github_id
0,langflow,logspace-ai/langflow,https://github.com/logspace-ai/langflow,https://github.com/logspace-ai/langflow,MIT,2023-02-08 22:28:03,2024-03-21 18:20:38,2024-03-21 16:21:50,7925,599.0,2252.0,136,834.0,118.0,492.0,15167,2024-03-04 11:47:58,0.6.10,809.0,89.0,100.0,Langflow is a dynamic graph where each node is an executable unit. Its modular and interactive design fosters rapid..,930.0,930.0,94.0,33,True,others,1,,
1,saleor,saleor/saleor,https://github.com/saleor/saleor,https://github.com/saleor/saleor,BSD-3-Clause,2013-02-12 16:46:39,2024-03-21 16:17:48,2024-03-21 14:18:03,21124,122.0,5147.0,373,10071.0,564.0,3704.0,19891,2024-03-21 11:17:03,3.19.12,137.0,45.0,100.0,"Saleor Core: the high performance, composable, headless commerce API.",3.0,3.0,289.0,32,True,others,1,-1.0,
2,dd-trace-py,DataDog/dd-trace-py,https://github.com/DataDog/dd-trace-py,https://github.com/DataDog/dd-trace-py,,2016-06-20 18:52:23,2024-03-21 18:12:41,2024-03-21 17:49:47,6734,397.0,371.0,535,7751.0,46.0,929.0,481,2024-03-20 17:06:11,2.7.4,,,100.0,Datadog Python APM Client.,1738.0,1738.0,257.0,29,False,others,1,,
3,memray,bloomberg/memray,https://github.com/bloomberg/memray,https://github.com/bloomberg/memray,Apache-2.0,2022-04-08 18:04:11,2024-03-13 01:00:11,2024-03-13 01:00:10,1172,37.0,357.0,59,347.0,18.0,139.0,12401,2023-12-04 20:03:53,1.11.0,,,17.0,Memray is a memory profiler for Python.,333.0,333.0,46.0,27,True,others,1,-1.0,
4,marvin,PrefectHQ/marvin,https://github.com/PrefectHQ/marvin,https://github.com/PrefectHQ/marvin,Apache-2.0,2023-03-10 18:44:40,2024-03-21 14:41:09,2024-03-21 14:41:08,3115,551.0,294.0,35,673.0,53.0,126.0,4575,2024-03-21 00:12:11,2.3.0,,,56.0,Build AI interfaces that spark joy.,143.0,143.0,38.0,27,True,others,1,,
5,aiida-core,aiidateam/aiida-core,https://github.com/aiidateam/aiida-core,https://github.com/aiidateam/aiida-core,,2016-12-23 15:38:21,2024-03-21 06:21:38,2024-03-21 06:12:49,11733,53.0,173.0,26,3202.0,438.0,2611.0,397,2023-12-20 20:37:21,2.5.0,,,30.0,The official repository for the AiiDA code.,288.0,288.0,120.0,27,False,others,1,,
6,polar,polarsource/polar,https://github.com/polarsource/polar,https://github.com/polarsource/polar,Apache-2.0,2023-01-26 10:04:27,2024-03-21 16:40:33,2024-03-21 14:48:27,4789,1269.0,38.0,5,2143.0,73.0,627.0,1138,2024-03-20 13:09:59,@polar-sh/sdk@0.5.0,,,10.0,Polar is the creator platform for developers & the open source ecosystem.,,,21.0,23,True,others,1,2.0,
7,poetry2nix,nix-community/poetry2nix,https://github.com/nix-community/poetry2nix,https://github.com/nix-community/poetry2nix,MIT,2019-06-17 15:26:38,2024-03-21 15:09:16,2024-02-22 08:17:04,2753,76.0,360.0,10,1139.0,135.0,285.0,700,2024-02-22 08:30:18,2024.2.2230616,,,100.0,Convert poetry projects to nix automagically [maintainer=@adisbladis].,,,256.0,23,True,others,1,,
8,OF-Scraper,datawhores/OF-Scraper,https://github.com/datawhores/OF-Scraper,https://github.com/datawhores/OF-Scraper,MIT,2023-03-22 11:35:12,2024-03-21 17:25:49,2024-03-21 00:20:52,2709,416.0,37.0,16,21.0,12.0,309.0,430,2024-03-21 17:25:50,55032e0,3005.0,3005.0,100.0,"A completely revamped and redesigned fork, reimagined from scratch based on the original onlyfans-scraper.",1.0,1.0,12.0,23,True,others,1,,
9,harlequin,tconbeer/harlequin,https://github.com/tconbeer/harlequin,https://github.com/tconbeer/harlequin,MIT,2023-05-02 15:44:31,2024-03-20 17:39:22,2024-02-22 22:34:41,256,42.0,54.0,17,305.0,19.0,117.0,2325,2024-02-22 22:35:19,1.16.0,257.0,25.0,55.0,The SQL IDE for Your Terminal.,68.0,68.0,10.0,22,True,others,1,,
10,evm-semantics,runtimeverification/evm-semantics,https://github.com/runtimeverification/evm-semantics,https://github.com/runtimeverification/evm-semantics,BSD-3-Clause,2016-10-03 02:08:34,2024-03-21 17:47:54,2024-03-20 23:01:53,3184,96.0,103.0,54,2002.0,67.0,274.0,496,2024-03-20 23:20:11,1.0.503,,,100.0,K Semantics of the Ethereum Virtual Machine (EVM).,,,80.0,22,True,others,1,,
11,PlexTraktSync,Taxel/PlexTraktSync,https://github.com/Taxel/PlexTraktSync,https://github.com/Taxel/PlexTraktSync,MIT,2019-10-21 20:26:32,2024-03-19 12:59:50,2024-03-19 12:59:43,3785,442.0,96.0,24,1167.0,19.0,411.0,1377,,,,,,"A python script that syncs the movies, shows and ratings between trakt and Plex (without needing a PlexPass or Trakt..",,,32.0,21,True,others,1,,
12,backend.ai,lablup/backend.ai,https://github.com/lablup/backend.ai,https://github.com/lablup/backend.ai,LGPL-3.0,2016-10-06 05:08:49,2024-03-20 01:12:13,2024-03-14 05:55:55,1712,106.0,126.0,24,1265.0,247.0,442.0,463,2024-01-20 18:04:03,23.09.8,4959.0,137.0,100.0,"Backend.AI is a streamlined, container-based computing cluster platform that hosts popular computing/ML frameworks and..",,,79.0,21,True,others,1,,
13,trogon,Textualize/trogon,https://github.com/Textualize/trogon,https://github.com/Textualize/trogon,MIT,2023-04-18 16:06:50,2024-03-17 20:09:12,2023-08-21 21:33:21,172,,47.0,21,27.0,28.0,21.0,2314,2023-06-19 09:00:49,0.5.0,,,3.0,Easily turn your Click CLI into a powerful terminal application.,112.0,112.0,6.0,20,True,others,1,,
14,langchain-serve,jina-ai/langchain-serve,https://github.com/jina-ai/langchain-serve,https://github.com/jina-ai/langchain-serve,Apache-2.0,2023-03-21 03:08:56,2023-09-20 04:01:50,2023-09-20 04:01:50,680,,133.0,36,93.0,15.0,35.0,1558,2023-08-22 10:12:03,0.0.61,,,57.0,Langchain apps in production using Jina & FastAPI.,343.0,343.0,6.0,20,True,others,1,,
15,termtyper,kraanzu/termtyper,https://github.com/kraanzu/smassh,https://github.com/kraanzu/smassh,GPL-3.0,2022-02-01 06:48:35,2024-03-16 03:28:59,2024-03-16 03:27:46,875,488.0,43.0,8,38.0,4.0,42.0,1224,2024-03-16 03:28:59,3.1.2,755.0,30.0,11.0,"Smassh your Keyboard, TUI Edition.",,,19.0,20,True,others,1,5.0,kraanzu/smassh
