,name,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,category,projectrank_placing,trending
10,starwhale,star-whale/starwhale,https://github.com/star-whale/starwhale,https://github.com/star-whale/starwhale,Apache-2.0,2021-12-30 14:26:20,2024-01-04 09:45:17,2024-01-04 07:49:30,2282,267.0,27.0,6,2538.0,159.0,414.0,176,2023-12-24 14:52:29,0.6.9,,,44.0,an MLOps/LLMOps platform.,3.0,3.0,10.0,22,True,others,1,
11,langchain-serve,jina-ai/langchain-serve,https://github.com/jina-ai/langchain-serve,https://github.com/jina-ai/langchain-serve,Apache-2.0,2023-03-21 03:08:56,2023-09-20 04:01:50,2023-09-20 04:01:50,680,,128.0,36,93.0,15.0,35.0,1544,2023-08-22 10:12:03,0.0.61,,,57.0,Langchain apps in production using Jina & FastAPI.,339.0,339.0,6.0,21,True,others,1,
12,polar,polarsource/polar,https://github.com/polarsource/polar,https://github.com/polarsource/polar,Apache-2.0,2023-01-26 10:04:27,2024-01-04 18:06:20,2024-01-04 18:06:19,3608,1261.0,26.0,4,1488.0,68.0,461.0,791,2024-01-03 16:13:51,jssdk/v0.2.0,,,3.0,Polar is a platform for open source maintainers to get better funding.,,,16.0,21,True,others,1,
13,backend.ai,lablup/backend.ai,https://github.com/lablup/backend.ai,https://github.com/lablup/backend.ai,LGPL-3.0,2016-10-06 05:08:49,2024-01-04 13:28:44,2023-12-29 02:52:55,1610,131.0,125.0,25,1167.0,227.0,421.0,448,2023-11-27 08:30:09,23.09.6,4251.0,59.0,97.0,"Backend.AI is a streamlined, container-based computing cluster platform that hosts popular computing/ML frameworks and..",,,77.0,21,True,others,1,
14,traffic,xoolive/traffic,https://github.com/xoolive/traffic,https://github.com/xoolive/traffic,MIT,2018-03-27 20:32:46,2024-01-03 13:43:53,2024-01-03 13:27:52,1371,23.0,73.0,6,240.0,8.0,130.0,330,2023-08-22 15:55:12,2.9.0,54.0,0.0,19.0,A toolbox for processing and analysing air traffic data.,70.0,70.0,33.0,21,True,others,1,
15,bluesky,TUDelft-CNS-ATM/bluesky,https://github.com/TUDelft-CNS-ATM/bluesky,https://github.com/TUDelft-CNS-ATM/bluesky,GPL-3.0,2015-04-01 17:13:37,2023-12-08 08:01:56,2023-12-08 07:54:52,2612,8.0,179.0,42,185.0,15.0,253.0,313,2023-11-22 10:14:43,2023.11.22,1880.0,21.0,10.0,The open source air traffic simulator.,1.0,1.0,38.0,21,True,others,1,
16,PlexTraktSync,Taxel/PlexTraktSync,https://github.com/Taxel/PlexTraktSync,https://github.com/Taxel/PlexTraktSync,MIT,2019-10-21 20:26:32,2024-01-01 12:05:31,2023-12-30 14:01:47,3359,98.0,92.0,22,1053.0,17.0,373.0,1284,,,,,,"A python script that syncs the movies, shows and ratings between trakt and Plex (without needing a PlexPass or Trakt..",,,30.0,20,True,others,2,
17,harlequin,tconbeer/harlequin,https://github.com/tconbeer/harlequin,https://github.com/tconbeer/harlequin,MIT,2023-05-02 15:44:31,2024-01-01 15:47:00,2023-12-27 01:57:58,215,56.0,15.0,8,249.0,23.0,87.0,617,2023-12-22 04:34:10,1.8.0,160.0,20.0,45.0,The SQL IDE for Your Terminal.,54.0,54.0,8.0,20,True,others,2,-1.0
18,maggma,materialsproject/maggma,https://github.com/materialsproject/maggma,https://github.com/materialsproject/maggma,,2017-06-13 20:50:20,2024-01-01 08:03:38,2023-12-20 22:04:21,3115,170.0,29.0,12,826.0,36.0,41.0,31,2023-12-15 18:54:32,0.60.0,,,100.0,MongoDB aggregation machine.,92.0,92.0,28.0,20,False,others,2,
19,trogon,Textualize/trogon,https://github.com/Textualize/trogon,https://github.com/Textualize/trogon,MIT,2023-04-18 16:06:50,2023-12-28 20:56:03,2023-08-21 21:33:21,172,,42.0,20,22.0,27.0,21.0,2218,2023-06-19 09:00:49,0.5.0,,,3.0,Easily turn your Click CLI into a powerful terminal application.,95.0,95.0,6.0,19,True,others,2,-1.0
20,tiptop,nschloe/tiptop,https://github.com/nschloe/tiptop,https://github.com/nschloe/tiptop,MIT,2021-09-24 14:46:17,2024-01-04 17:12:28,2022-09-03 10:08:19,279,,66.0,13,70.0,14.0,28.0,1545,2022-09-03 10:08:30,0.2.8,,,37.0,Command-line system monitoring.,45.0,45.0,3.0,19,False,others,2,
21,improv,project-improv/improv,https://github.com/project-improv/improv,https://github.com/project-improv/improv,MIT,2018-09-14 17:55:04,2024-01-04 15:58:53,2023-12-31 22:42:26,1156,45.0,9.0,4,112.0,13.0,39.0,30,2024-01-01 02:11:22,0.2.1,,,3.0,Adaptive Platform for Neuroscience Experiments.,7.0,7.0,22.0,19,True,others,2,3.0
22,rich-cli,Textualize/rich-cli,https://github.com/Textualize/rich-cli,https://github.com/Textualize/rich-cli,MIT,2022-01-22 12:31:52,2023-07-25 19:11:12,2022-06-21 10:32:51,109,,71.0,29,31.0,21.0,31.0,2871,2022-05-07 15:46:39,1.8.0,,,3.0,Rich-cli is a command line toolbox for fancy output in the terminal.,96.0,96.0,11.0,18,False,others,2,
23,frogmouth,Textualize/frogmouth,https://github.com/Textualize/frogmouth,https://github.com/Textualize/frogmouth,MIT,2023-04-03 08:41:03,2023-11-29 01:29:38,2023-11-28 15:46:18,430,5.0,30.0,11,33.0,23.0,28.0,1992,2023-11-02 20:14:13,0.9.1,,,8.0,A Markdown browser for your terminal.,5.0,5.0,5.0,18,True,others,2,
24,dooit,kraanzu/dooit,https://github.com/kraanzu/dooit,https://github.com/kraanzu/dooit,MIT,2022-04-19 14:49:10,2023-12-17 02:44:12,2023-12-17 02:43:40,899,39.0,76.0,16,37.0,15.0,102.0,1787,2023-10-19 04:12:28,2.1.0,135.0,7.0,9.0,An awesome TUI todo manager.,,,16.0,18,True,others,2,
25,live-de-python,dunossauro/live-de-python,https://github.com/dunossauro/live-de-python,https://github.com/dunossauro/live-de-python,MIT,2017-04-26 20:48:33,2023-12-23 19:30:35,2023-12-23 19:30:31,422,12.0,199.0,81,55.0,194.0,156.0,1041,,,,,,Repositrio das lives de python semanais.,,,35.0,18,True,others,2,
26,RecoverPy,PabloLec/RecoverPy,https://github.com/PabloLec/RecoverPy,https://github.com/PabloLec/RecoverPy,GPL-3.0,2021-02-24 14:42:33,2024-01-03 13:12:28,2024-01-03 13:12:21,989,104.0,49.0,14,323.0,,23.0,1090,2023-12-15 17:41:16,2.1.5,,,33.0,Interactively find and recover deleted or overwritten files from your terminal.,,,6.0,17,True,others,2,
27,iSponsorBlockTV,dmunozv04/iSponsorBlockTV,https://github.com/dmunozv04/iSponsorBlockTV,https://github.com/dmunozv04/iSponsorBlockTV,GPL-3.0,2022-01-15 18:26:33,2023-12-29 15:19:50,2023-12-19 07:24:45,195,73.0,44.0,9,40.0,18.0,62.0,804,2023-12-09 18:18:49,2.0.4,297.0,14.0,6.0,SponsorBlock client for all YouTube TV clients.,,,17.0,17,True,others,2,
28,di,adriangb/di,https://github.com/adriangb/di,https://github.com/adriangb/di,MIT,2021-07-26 06:11:37,2023-10-09 21:46:21,2023-10-09 21:42:13,501,3.0,11.0,4,66.0,8.0,40.0,253,2023-10-09 21:46:10,0.79.2,,,100.0,Pythonic dependency injection.,127.0,127.0,9.0,17,True,others,2,-1.0
29,nomenklatura,opensanctions/nomenklatura,https://github.com/opensanctions/nomenklatura,https://github.com/opensanctions/nomenklatura,MIT,2012-07-15 09:53:28,2024-01-04 16:51:42,2024-01-04 16:51:34,1015,56.0,32.0,17,80.0,1.0,53.0,168,,,,,,Framework and command-line tools for integrating FollowTheMoney data streams from multiple sources.,21.0,21.0,9.0,17,True,others,2,
30,bowtie,bowtie-json-schema/bowtie,https://github.com/bowtie-json-schema/bowtie,https://github.com/bowtie-json-schema/bowtie,,2022-09-02 08:13:11,2024-01-04 18:02:06,2024-01-04 18:01:56,2616,621.0,20.0,5,616.0,67.0,68.0,36,2024-01-04 02:14:12,2024.1.1,268.0,33.0,100.0,JSON Schema in every programming language.,1.0,1.0,20.0,17,False,others,2,
31,terraform-tui,idoavrah/terraform-tui,https://github.com/idoavrah/terraform-tui,https://github.com/idoavrah/terraform-tui,Apache-2.0,2023-07-20 08:23:57,2024-01-03 10:47:25,2024-01-01 09:19:22,88,44.0,24.0,11,35.0,,16.0,773,2024-01-01 09:22:07,0.11.2,,,23.0,Terraform textual UI.,,,4.0,16,True,others,2,2.0
32,jpterm,davidbrochart/jpterm,https://github.com/davidbrochart/jpterm,https://github.com/davidbrochart/jpterm,MIT,2021-12-30 11:31:32,2023-12-25 09:47:03,2023-12-25 09:46:39,143,31.0,3.0,5,58.0,2.0,9.0,161,2023-12-25 09:48:13,0.2.4,2885.0,221.0,22.0,Jupyter in the terminal.,,,,16,True,others,2,1.0
33,markata,WaylonWalker/markata,https://github.com/WaylonWalker/markata,https://github.com/WaylonWalker/markata,MIT,2021-01-27 14:35:47,2024-01-04 02:18:38,2024-01-04 02:18:38,383,3.0,5.0,3,117.0,18.0,23.0,86,2024-01-02 17:51:43,0.8.0,,,17.0,A plugins all the way down static site generator written in python. Plugins all the way down means that you can..,26.0,26.0,6.0,16,True,others,2,
34,LangChain-ChatGLM-Webui,X-D-Lab/LangChain-ChatGLM-Webui,https://github.com/X-D-Lab/LangChain-ChatGLM-Webui,https://github.com/X-D-Lab/LangChain-ChatGLM-Webui,Apache-2.0,2023-04-10 06:09:01,2023-09-30 17:18:31,2023-09-30 17:18:31,234,,394.0,25,19.0,39.0,82.0,2592,,,,,,LangChainChatGLM-6BLLM.,,,6.0,15,True,others,2,
35,XHS-Downloader,JoeanAmier/XHS-Downloader,https://github.com/JoeanAmier/XHS-Downloader,https://github.com/JoeanAmier/XHS-Downloader,GPL-3.0,2023-08-16 11:03:36,2024-01-03 14:03:58,2024-01-03 14:02:47,123,28.0,278.0,10,5.0,26.0,5.0,2121,2023-12-23 02:59:43,1.7,3527.0,881.0,8.0,AIOHTTP /.,,,2.0,15,True,others,2,-1.0
36,termtyper,kraanzu/termtyper,https://github.com/kraanzu/termtyper,https://github.com/kraanzu/termtyper,MIT,2022-02-01 06:48:35,2024-01-03 02:36:25,2023-07-22 08:37:41,226,,36.0,8,20.0,11.0,22.0,980,2022-07-17 14:51:32,2.0.0,,,4.0,A typing application to level up your fingers!.,,,12.0,15,True,others,2,
37,redun,insitro/redun,https://github.com/insitro/redun,https://github.com/insitro/redun,Apache-2.0,2021-11-04 00:14:09,2023-11-12 15:12:29,2023-11-07 21:47:16,335,5.0,34.0,15,46.0,23.0,20.0,471,,,,,,Yet another redundant workflow engine.,13.0,13.0,31.0,15,True,others,2,
38,Mys_Goods_Tool,Ljzd-PRO/Mys_Goods_Tool,https://github.com/Ljzd-PRO/Mys_Goods_Tool,https://github.com/Ljzd-PRO/Mys_Goods_Tool,MIT,2021-10-28 12:35:26,2023-10-11 14:20:57,2023-10-11 14:20:57,851,1.0,73.0,7,28.0,14.0,105.0,462,2023-07-20 20:59:31,2.1.0,8204.0,303.0,26.0,| |.,,,6.0,15,True,others,2,-2.0
39,camply,juftin/camply,https://github.com/juftin/camply,https://github.com/juftin/camply,MIT,2021-04-18 01:07:59,2023-11-07 21:44:55,2023-10-27 04:51:20,213,2.0,67.0,15,193.0,9.0,47.0,353,2023-10-27 04:51:31,0.31.1,323.0,10.0,90.0,"camply, the campsite finder - a tool to find campsites at sold out campgrounds through sites like recreation.gov.",2.0,2.0,14.0,15,True,others,2,
40,textual-plotext,Textualize/textual-plotext,https://github.com/Textualize/textual-plotext,https://github.com/Textualize/textual-plotext,MIT,2023-09-18 08:38:58,2023-11-06 10:24:59,2023-11-06 10:24:55,250,64.0,1.0,7,4.0,1.0,4.0,51,2023-10-26 12:57:24,0.2.1,,,3.0,A Textual widget wrapper library for Plotext.,18.0,18.0,,15,True,others,2,
41,cobib,mrossinek/cobib,https://github.com/mrossinek/cobib,https://github.com/mrossinek/cobib,MIT,2019-04-07 08:26:40,2024-01-02 07:29:43,2024-01-02 07:29:41,748,90.0,4.0,4,2.0,,,32,2023-12-15 11:59:00,4.4.0,,,8.0,Console Bibliography.,,,,15,True,others,2,1.0
42,llm-strategy,BlackHC/llm-strategy,https://github.com/BlackHC/llm-strategy,https://github.com/BlackHC/llm-strategy,MIT,2022-12-21 00:23:47,2023-12-27 19:32:16,2023-12-27 19:27:59,58,20.0,20.0,6,5.0,,,361,2023-12-27 19:31:17,2.1.1,,,6.0,Directly Connecting Python to LLMs - Dataclasses & Interfaces - LLMs.,,,,14,True,others,2,2.0
43,dolphie,charles-001/dolphie,https://github.com/charles-001/dolphie,https://github.com/charles-001/dolphie,GPL-3.0,2022-09-05 00:43:48,2023-11-21 03:52:48,2023-11-21 03:52:46,168,8.0,18.0,9,11.0,,27.0,301,2023-11-19 06:35:31,3.2.0,,,27.0,An intuitive feature-rich terminal tool for monitoring MySQL in real-time.,,,4.0,14,True,others,2,
44,oterm,ggozad/oterm,https://github.com/ggozad/oterm,https://github.com/ggozad/oterm,MIT,2023-10-10 07:29:26,2024-01-04 10:20:03,2024-01-04 10:19:52,129,129.0,10.0,7,9.0,11.0,20.0,266,2023-12-19 06:08:50,0.1.17,,,3.0,a text-based terminal client for Ollama.,,,4.0,14,True,others,2,
45,hexabyte,thetacom/hexabyte,https://github.com/thetacom/hexabyte,https://github.com/thetacom/hexabyte,GPL-3.0,2023-03-11 21:00:31,2023-12-08 22:58:02,2023-12-08 22:52:32,150,6.0,4.0,4,12.0,8.0,10.0,200,2023-12-15 18:50:02,0.8.4,50.0,5.0,11.0,"A modern, modular, and robust TUI hex editor.",4.0,4.0,,14,True,others,2,
46,spiel,JoshKarpel/spiel,https://github.com/JoshKarpel/spiel,https://github.com/JoshKarpel/spiel,MIT,2021-03-28 15:37:40,2023-12-26 00:51:19,2023-12-26 00:50:33,221,19.0,5.0,3,240.0,5.0,15.0,72,2023-04-21 23:53:02,0.5.1,,,13.0,Display richly-styled presentations using your terminal.,5.0,5.0,5.0,14,True,others,2,1.0
47,uproot-browser,scikit-hep/uproot-browser,https://github.com/scikit-hep/uproot-browser,https://github.com/scikit-hep/uproot-browser,BSD-3-Clause,2021-07-22 03:35:43,2023-12-25 19:33:04,2023-11-28 17:35:29,151,3.0,7.0,2,138.0,9.0,14.0,70,2023-08-09 21:20:43,0.6.5,5586.0,186.0,17.0,A TUI viewer for ROOT files.,,,9.0,14,True,others,2,
48,word-search-generator,joshbduncan/word-search-generator,https://github.com/joshbduncan/word-search-generator,https://github.com/joshbduncan/word-search-generator,MIT,2021-08-13 04:08:57,2024-01-04 17:01:03,2024-01-04 16:59:54,254,11.0,15.0,2,28.0,3.0,23.0,44,2023-05-02 16:15:57,3.3.0,,,5.0,Make awesome Word Search puzzles!.,4.0,4.0,3.0,14,True,others,2,
49,config-client,amenezes/config-client,https://github.com/amenezes/config-client,https://github.com/amenezes/config-client,Apache-2.0,2019-02-12 04:30:32,2023-12-03 19:10:53,2023-12-03 19:10:45,217,6.0,14.0,3,24.0,1.0,25.0,21,2023-10-24 14:55:04,1.4.0,,,30.0,config-client package for spring cloud config and cloud foundry.,,,6.0,14,True,others,2,
50,Avilla,GraiaProject/Avilla,https://github.com/GraiaProject/Avilla,https://github.com/GraiaProject/Avilla,MIT,2021-05-29 08:44:59,2023-12-31 15:53:11,2023-12-31 10:43:06,1037,88.0,10.0,6,34.0,21.0,91.0,133,,,,,1.0,The next-gen framework for IM development. Powered by Graia Project.,,,6.0,13,True,others,2,
51,textual-inputs,sirfuzzalot/textual-inputs,https://github.com/sirfuzzalot/textual-inputs,https://github.com/sirfuzzalot/textual-inputs,MIT,2021-09-07 04:48:21,2023-03-18 20:17:07,2023-03-18 20:17:01,34,,11.0,3,22.0,,17.0,93,2022-06-12 01:06:49,0.2.6,,,6.0,Textual Inputs is a collection of input widgets for the Textual TUI framework.,99.0,99.0,7.0,13,True,others,2,
52,papyri,jupyter/papyri,https://github.com/jupyter/papyri,https://github.com/jupyter/papyri,MIT,2020-07-22 19:58:47,2023-12-30 13:13:35,2023-12-30 13:13:35,1566,116.0,15.0,13,267.0,77.0,26.0,76,,,,,,,1.0,1.0,14.0,13,False,others,2,
53,wasm-semantics,runtimeverification/wasm-semantics,https://github.com/runtimeverification/wasm-semantics,https://github.com/runtimeverification/wasm-semantics,,2015-08-18 22:55:24,2023-12-22 10:44:09,2023-12-22 10:44:08,743,47.0,16.0,25,494.0,19.0,44.0,74,,,,,,A Prototype Formal Semantics of WebAssembly in K.,,,22.0,13,False,others,2,
54,flameshow,laixintao/flameshow,https://github.com/laixintao/flameshow,https://github.com/laixintao/flameshow,,2023-09-24 11:21:54,2023-11-28 03:24:47,2023-11-28 03:24:42,324,95.0,9.0,6,59.0,5.0,4.0,753,2023-11-28 03:26:56,1.1.1,,,9.0,A terminal Flamegraph viewer.,,,2.0,12,False,others,3,-1.0
55,gupshup,kraanzu/gupshup,https://github.com/kraanzu/gupshup,https://github.com/kraanzu/gupshup,MIT,2022-01-15 10:55:36,2022-11-07 03:07:37,2022-11-07 03:07:37,151,,17.0,4,,3.0,4.0,361,2022-04-17 07:21:28,1.0.0,,,2.0,A TUI chat application writtten in python.,,,,12,False,others,3,1.0
56,ChatGPTerminator,AineeJames/ChatGPTerminator,https://github.com/AineeJames/ChatGPTerminator,https://github.com/AineeJames/ChatGPTerminator,MIT,2023-03-13 20:14:49,2023-05-21 16:23:03,2023-05-17 06:04:05,208,,15.0,7,11.0,5.0,15.0,219,2023-05-15 18:04:00,0.1.11,,,11.0,GPTerminator provides a convenient way to interact with OpenAIs chat completion and image generation APIs using your..,,,5.0,12,True,others,3,
57,pdfalyzer,michelcrypt4d4mus/pdfalyzer,https://github.com/michelcrypt4d4mus/pdfalyzer,https://github.com/michelcrypt4d4mus/pdfalyzer,GPL-3.0,2022-09-14 18:51:50,2023-11-15 23:02:37,2023-11-15 23:02:35,166,8.0,16.0,4,4.0,2.0,6.0,194,2023-11-15 19:49:03,1.14.5,9.0,0.0,37.0,Analyze PDFs. With colors. And Yara.,,,4.0,12,True,others,3,
58,browsr,juftin/browsr,https://github.com/juftin/browsr,https://github.com/juftin/browsr,MIT,2023-05-03 05:26:39,2023-12-22 04:30:48,2023-12-22 04:06:48,70,6.0,7.0,4,21.0,4.0,9.0,120,2023-10-12 06:05:53,1.17.1,160.0,20.0,31.0,a pleasant file explorer in your terminal supporting remote and local filesystems.,,,4.0,12,True,others,3,
59,textual-astview,davep/textual-astview,https://github.com/davep/textual-astview,https://github.com/davep/textual-astview,MIT,2022-12-19 22:40:32,2023-10-10 20:12:23,2023-10-10 20:09:34,153,10.0,3.0,2,2.0,,6.0,65,2023-10-10 20:12:23,0.8.0,,,11.0,A Textual-based Python AST viewing widget library and application.,,,,12,True,others,3,
60,ddqa,DataDog/ddqa,https://github.com/DataDog/ddqa,https://github.com/DataDog/ddqa,MIT,2023-02-21 15:54:14,2023-12-21 10:09:23,2023-12-21 09:15:33,108,43.0,1.0,4,92.0,,,62,2023-06-21 13:21:30,0.4.0,113.0,12.0,5.0,Datadogs QA manager for releases of GitHub repositories.,,,7.0,12,True,others,3,
61,nonebot-plugin-chatrecorder,noneplugin/nonebot-plugin-chatrecorder,https://github.com/noneplugin/nonebot-plugin-chatrecorder,https://github.com/noneplugin/nonebot-plugin-chatrecorder,MIT,2022-01-31 14:02:09,2024-01-02 01:54:29,2024-01-02 01:54:29,182,25.0,7.0,2,27.0,1.0,9.0,40,2023-10-23 14:27:00,0.5.1,7.0,0.0,13.0,Nonebot2.,2.0,2.0,4.0,12,True,others,3,
62,netext,mahrz24/netext,https://github.com/mahrz24/netext,https://github.com/mahrz24/netext,MIT,2022-07-21 11:07:47,2023-12-06 16:48:33,2023-12-06 16:03:27,225,49.0,1.0,2,16.0,14.0,17.0,40,2023-11-13 19:53:25,0.2.1,6.0,0.0,4.0,Netext is a graph (network) rendering library for the terminal.,,,4.0,12,True,others,3,
63,cerberus,nus-apr/cerberus,https://github.com/nus-apr/cerberus,https://github.com/nus-apr/cerberus,MIT,2021-05-10 06:00:46,2024-01-03 13:14:47,2023-12-11 07:47:18,470,5.0,23.0,6,85.0,14.0,57.0,39,,,,,,Program repair platform that provides interface to multiple state-of-the-art program repair tools.,,,9.0,12,True,others,3,-2.0
64,0x0,mia-0/0x0,https://github.com/mia-0/0x0,https://github.com/mia-0/0x0,EUPL-1.2,2016-11-01 04:26:54,2023-06-04 04:37:32,2023-06-04 04:35:11,82,,125.0,26,10.0,,,1663,,,,,,No-bullshit file hosting and URL shortening service. Mirror of https://git.0x0.st/mia/0x0.,,,7.0,11,True,others,3,
65,textual-web,Textualize/textual-web,https://github.com/Textualize/textual-web,https://github.com/Textualize/textual-web,MIT,2023-08-15 13:13:44,2023-11-28 15:42:54,2023-11-28 15:32:26,130,7.0,11.0,9,17.0,12.0,6.0,490,2023-11-28 15:32:19,0.6.0,,,1.0,Run TUIs and terminals in your browser.,,,3.0,11,True,others,3,
66,girok,noisrucer/girok,https://github.com/noisrucer/girok,https://github.com/noisrucer/girok,GPL-3.0,2023-03-23 08:52:57,2023-10-02 08:32:28,2023-10-02 08:32:28,133,,9.0,9,13.0,12.0,22.0,438,2023-04-13 14:24:59,0.1.16,,,7.0,A powerful and beautiful CLI scheduler.,,,,11,True,others,3,1.0
67,elia,darrenburns/elia,https://github.com/darrenburns/elia,https://github.com/darrenburns/elia,,2023-05-04 20:34:55,2024-01-03 08:25:01,2023-12-18 23:57:58,87,9.0,20.0,6,7.0,9.0,4.0,260,2023-12-18 23:58:36,0.5.0,,,4.0,A terminal ChatGPT client built with Textual.,,,4.0,11,False,others,3,
68,rtui,eduidl/rtui,https://github.com/eduidl/rtui,https://github.com/eduidl/rtui,Apache-2.0,2022-03-20 13:28:45,2023-10-25 02:50:27,2023-10-25 02:50:21,74,48.0,8.0,6,12.0,4.0,1.0,189,2023-10-24 16:25:52,0.2.0,,,1.0,TUI tool for ROS.,,,2.0,11,True,others,3,
69,django-tui,anze3db/django-tui,https://github.com/anze3db/django-tui,https://github.com/anze3db/django-tui,MIT,2023-08-23 15:56:59,2023-12-19 17:17:28,2023-12-19 17:14:20,77,47.0,1.0,5,3.0,,1.0,184,2023-12-19 17:17:28,23.9,,,10.0,Inspect and run Django Commands in a text-based user interface (TUI).,5.0,5.0,2.0,11,True,others,3,
70,textual-autocomplete,darrenburns/textual-autocomplete,https://github.com/darrenburns/textual-autocomplete,https://github.com/darrenburns/textual-autocomplete,MIT,2022-11-22 16:49:26,2023-08-28 18:15:31,2023-06-26 08:37:12,90,,13.0,3,7.0,8.0,6.0,120,2023-03-28 10:00:13,2.1.0b0,,,6.0,Easily add autocomplete dropdowns to your Textual apps.,18.0,18.0,5.0,11,True,others,3,
71,logmerger,ptmcg/logmerger,https://github.com/ptmcg/logmerger,https://github.com/ptmcg/logmerger,MIT,2023-05-09 13:25:45,2023-12-10 21:30:50,2023-12-10 21:30:50,114,19.0,3.0,2,2.0,7.0,19.0,103,2023-12-07 09:22:28,0.8.0,17.0,4.0,9.0,TUI utility to view multiple log files with merged timeline.,,,2.0,11,True,others,3,
