,name,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,category,projectrank_placing,trending
0,langflow,logspace-ai/langflow,https://github.com/logspace-ai/langflow,https://github.com/logspace-ai/langflow,MIT,2023-02-08 22:28:03,2024-01-04 14:17:19,2024-01-02 13:16:14,7358,1666.0,2060.0,122,705.0,77.0,419.0,14025,2023-12-29 14:03:44,0.6.4,833.0,104.0,100.0,"Langflow is a UI for LangChain, designed with react-flow to provide an effortless way to experiment and prototype flows.",701.0,701.0,81.0,33,True,others,1,
1,saleor,saleor/saleor,https://github.com/saleor/saleor,https://github.com/saleor/saleor,BSD-3-Clause,2013-02-12 16:46:39,2024-01-04 17:27:39,2024-01-04 15:13:11,21016,221.0,5094.0,373,9670.0,575.0,3616.0,19482,2024-01-04 15:17:09,3.18.10,70.0,17.0,100.0,"Saleor Core: the high performance, composable, headless commerce API.",3.0,3.0,284.0,32,True,others,1,-1.0
2,dd-trace-py,DataDog/dd-trace-py,https://github.com/DataDog/dd-trace-py,https://github.com/DataDog/dd-trace-py,,2016-06-20 18:52:23,2024-01-04 18:00:58,2024-01-04 16:48:49,6355,359.0,358.0,518,7101.0,30.0,874.0,457,2023-12-20 16:06:46,2.4.0,72.0,9.0,100.0,Datadog Python APM Client.,1634.0,1634.0,246.0,29,False,others,1,
3,memray,bloomberg/memray,https://github.com/bloomberg/memray,https://github.com/bloomberg/memray,Apache-2.0,2022-04-08 18:04:11,2024-01-03 14:54:18,2023-12-18 22:54:56,1135,38.0,343.0,58,321.0,14.0,127.0,11726,2023-12-04 20:03:53,1.11.0,,,17.0,Memray is a memory profiler for Python.,280.0,280.0,42.0,27,True,others,1,-1.0
4,marvin,PrefectHQ/marvin,https://github.com/PrefectHQ/marvin,https://github.com/PrefectHQ/marvin,Apache-2.0,2023-03-10 18:44:40,2024-01-04 16:04:11,2024-01-04 14:55:06,2624,418.0,259.0,36,552.0,50.0,101.0,4146,2023-11-06 18:57:55,1.5.6,,,43.0,Build AI interfaces that spark joy.,117.0,117.0,29.0,27,True,others,1,
5,aiida-core,aiidateam/aiida-core,https://github.com/aiidateam/aiida-core,https://github.com/aiidateam/aiida-core,,2016-12-23 15:38:21,2024-01-03 08:30:07,2024-01-03 08:21:15,11682,102.0,163.0,25,3144.0,434.0,2591.0,389,2023-12-20 20:37:21,2.5.0,,,30.0,The official repository for the AiiDA code.,274.0,274.0,114.0,27,False,others,1,
6,poetry2nix,nix-community/poetry2nix,https://github.com/nix-community/poetry2nix,https://github.com/nix-community/poetry2nix,MIT,2019-06-17 15:26:38,2024-01-04 07:53:14,2023-12-25 23:21:37,2678,305.0,318.0,9,1071.0,121.0,281.0,637,2023-12-26 04:06:54,2023.12.2614813,,,100.0,Convert poetry projects to nix automagically [maintainer=@adisbladis].,,,238.0,24,True,others,1,
7,OF-Scraper,datawhores/OF-Scraper,https://github.com/datawhores/OF-Scraper,https://github.com/datawhores/OF-Scraper,MIT,2023-03-22 11:35:12,2024-01-04 17:07:15,2024-01-04 17:01:19,2376,286.0,31.0,14,17.0,12.0,261.0,330,2024-01-04 17:07:15,14e22d3,2688.0,1344.0,100.0,"A completely revamped and redesigned fork, reimagined from scratch based on the original onlyfans-scraper.",1.0,1.0,10.0,23,True,others,1,
8,YiVal,YiVal/YiVal,https://github.com/YiVal/YiVal,https://github.com/YiVal/YiVal,Apache-2.0,2023-07-15 02:04:35,2023-12-27 07:45:28,2023-12-21 04:44:43,809,369.0,403.0,239,246.0,10.0,9.0,2289,2023-12-08 07:20:29,0.1.0a10,,,9.0,Your Automatic Prompt Engineering Assistant for GenAI Applications.,,,48.0,22,True,others,1,1.0
9,evm-semantics,runtimeverification/evm-semantics,https://github.com/runtimeverification/evm-semantics,https://github.com/runtimeverification/evm-semantics,BSD-3-Clause,2016-10-03 02:08:34,2023-12-30 11:58:43,2023-12-22 19:20:23,3088,94.0,102.0,55,1887.0,78.0,249.0,490,2023-12-22 19:39:40,1.0.407,,,100.0,K Semantics of the Ethereum Virtual Machine (EVM).,,,80.0,22,True,others,1,
